"5W_embryo1" "7W_embryo1" "8W_embryo1" "10W_embryo1" "12W_embryo1" "14W_embryo1" "18W_embryo1" "18W_embryo2" "20W_embryo1" "20W_embryo2" "23W_embryo1" "23W_embryo2" "24W_embryo1" "24W_embryo2" "26W_embryo1"
"A2M" 0.362591069501372 0.114519754411655 0.14336711911367 0.234393117818087 0.157866209931867 0.27929305668296 0.673237314241109 0.196512166652696 0.526754413213998 0.300650252766667 0.332829162335445 0.153382479477093 0.352208687292208 0.291543919785493 0.476220633305589
"AAMDC" 0.616240704144281 0.600558006024005 0.590151084160607 0.748778317873744 0.773197178791983 1.2111701832876 0.738573281471633 0.656198696724327 0.561085537406404 0.590112070739568 1.109616607961 0.926713044886179 0.569724178392242 0.668156848316067 0.72870237799336
"ABCA17P" 0.0544934845874151 0 0.24983884119038 0.356375901332068 0.356573691682526 0.442399595690018 0.588215454253446 0.370979067822042 0.382686857518473 0.655604332399864 0.738310696945644 0.645566936500599 0.580998143920173 0.667841982819333 0.268037197726585
"ABCB6" 0.16726217261579 0.230814290125614 0.165347942858275 0.409327542370955 0.174569286856992 0.195328980809917 0.619912823150746 0.282704505977046 0.303020835786654 0.232191076993189 0.234411283203514 0.329414493098037 0.330387425770313 0.228749061940474 0.237999239400688
"ACOX1" 0.395289281627644 0.305685911417783 0.291498876236454 0.394559815764267 0.342587109540494 0.265346826904603 0.42626299132044 0.359806047671005 0.38814621284067 0.340755897964327 0.227915854218383 0.264871379798652 0.383442659350371 0.296465355444303 0.450436951217246
"ACP5" 0.301167650443021 0.347586906683964 0.381243346983677 0.534343465270018 0.281073567336141 0.186022350406884 0.560319884236075 0.411283847597307 0.495978183226906 0.431223218711849 0.309463162397197 0.350566175660822 0.391720702140655 0.499151726719537 0.259176947802028
"ACRC" 0.235290987970687 0.179676347633052 0 0.287692083578533 0.359285858316889 0.345576729060378 0.910016693725966 0.352767448471159 0.67296444090693 0.61669018286801 0.916316101986952 0.707730159261071 0.430518826479933 0.735387498816441 0.655602735002428
"ACTC1" 1.14381552697399 0.736816538743428 0.491612648109231 0.575736072762426 0.338015657021482 0.230008169037761 1.12500722039178 0.373919824080659 0.605405442110614 0.815646793386526 0.405818099398139 0.393678902313601 0.33357040165262 0.628953883181983 0.0110392487102832
"ACTG2" 1.72685298836023 2.1164198238465 1.86199476034074 1.7662792487789 0.888466730987901 0.366417023872729 1.6995577045141 1.42922724696512 1.38392800225883 1.0199924782075 0.682520119977526 0.900883046757749 1.21882604540136 1.25824427897006 0.918446138620282
"ADAMTS1" 0.228857407283031 0.140632928497013 0.222114846756713 0.254377285114334 0.37762816822497 0.222541094856114 0.562817482273994 0.559725300327262 0.448533903764235 0.408208128168162 0.195897440433251 0.155199239295532 0.213445419380832 0.398149845842674 0.824390359270182
"ADAMTS5" 0.348714904255709 0.303750668358218 0.49532591917208 0.231197001981711 0.190359003326939 0.175701524234591 0.283903606915645 0.678410719661702 0.234184877912941 1.38999103827647 0.239926145273612 0.241931801012531 0.441919465471758 0.361507043963968 0.55901633636564
"ADAP2" 0.135048405700762 0.18766361323704 0.229569268928628 0.360752085505548 0.144206015462743 0.168876525403424 0 0.241111862180819 1.71715937667023 0.277642082542646 0.350400560083155 0.282394322445699 0.425709605354045 0.43821245056235 1.16750082721495
"ADIPOR2" 0.425330381778334 0.372965274790388 0.309811829972932 0.42262163404984 0.48863781811995 0.377530636302214 0.456758591211695 0.518663667355151 0.376415548503408 0.467767124647374 0.382183407472387 0.426269448631072 0.468153903264367 0.461953182490311 0.419195149810988
"ADM" 0.625200761420626 0.245434158182781 0.353134831600574 0.464831886888243 0.250737991601686 0.287139501306438 0.589716129196566 0.622174703096162 0.400324292864643 0.579528943480779 0.393716921334135 0.314309562928569 0.291754806932244 0.283899120056017 0.598760657569113
"ADSSL1" 0.246803803225324 0 0.292448953906543 0 0.396719334186119 0.176097376944885 1.0351501931648 0.371535184363936 0.309633508891272 0.383887341044296 0.365183959566345 0.325377566798038 0.587898329887488 0.356782352756158 0.0234774580256361
"AGFG1" 0.320144893549403 0.27454390192814 0.315688181945597 0.266459926036321 0.434912977023513 0.294629835235476 0.459938483869045 0.333639475437596 0.505541623922143 0.581069038485716 0.308265240532534 0.418712836140336 0.464517087506358 0.410699991562806 0.393573139827218
"AHNAK" 0.241865043536414 0.324530879005984 0.276837520759195 0.420598356526802 0.274898050139429 0.423547154845071 0.615260110049421 0.545048662037502 0.43864019057311 0.605529853361434 0.26759270905004 0.212697310732293 0.603068922524109 0.337000650682104 0.632900386388178
"AHSA2" 0.208701130927243 0.212285431574116 0.2059306307498 0.861055533140121 0.312303827265864 0.232768024525659 0.516746210511742 0.50524580315867 0.384750798153083 0.406472176094915 0.409062465707395 0.366833290815637 0.742190979435296 0.311207965315476 0.440017142303437
"AIF1" 0.437568031522414 0 0 0 0.268374259740601 0.177142249088758 0.238903551330955 0 1.61061878068007 0.632687216922037 0.182339641998619 0.515317789352133 0.0206096585331623 0.0521801076092262 0.927750022525816
"AK1" 0.547536380217933 0.255089808765656 0.224515975434165 0.306538356659249 0.357324997216217 0.399730142176031 0.49053985075948 0.332405199115293 0.500894394642495 0.742084553628297 0.665810287063588 0.627674680695594 0.723839384001938 0.621921084486506 0.293894989954363
"AK3" 0.623546939509623 0.844324522946386 0.672255772556073 0.764718643695826 0.850697854900965 0.553595021050623 0.540134833935226 1.1239531437741 0.934105365382543 1.35938709259387 1.11290119039916 1.20163002449505 1.22408511108755 2.12732581131329 0.635656061804264
"AK5" 0.139732767960025 0.242605915772083 0.479543050907093 0.526945793462473 0.501734182134904 0.566289108466941 0.638663315234292 0.342303810541987 0.330262477702054 0.423353510758926 0.681958655639171 0.641259257524122 0.546111962192411 0.580191613894473 0.46297849883551
"AKR1B10" 0 0.0283007220352138 0.00975282504683886 0 0 0.301574434622354 0.33215936769461 0.563975192365753 0.637570597522777 1.88236918015749 0.0897847344732094 0.119889500922277 0.132213328005179 0.547332904985466 0
"AKR1C1" 0.169149295421365 0.31816055587154 0.619030343452716 0.256372285228503 0.485886060605949 0.31803672934763 0.0214251003685852 0.452173362801159 0.0483480236262788 0.867853120987485 0.106124431416094 0.186920949832178 0.559119014625331 0.534001509444538 1.3010379648629
"ALAS1" 0.623465662593444 0.605976391310293 0.556975824438054 0.757151398738174 0.601594958746804 0.577181074023379 0.824212120784271 0.514514653474354 0.605819170036247 0.73386826709639 0.685302583548622 0.577015116111352 0.603093840988791 0.573808764332156 0.713399365286452
"ALCAM" 0.427211422420226 0.121532538347365 0.269657831910392 0.357597245955912 0.257624765620902 0.37922195453833 0.527314886978012 0.678197501828409 0.518464363586183 0.749994800436939 0.301514895705478 0.286074133359917 0.163954633395857 0.267809590994649 0.838705563464722
"ALDH1A1" 0.403776827367854 0 0 0 0.21845919116984 0.462707132477739 0.692572851087918 1.90523435436738 1.05456324248121 0.535450437958368 0.118271157696492 0.274427518014276 1.2121700481423 0.357402433543765 1.61618730533803
"ALDH1A2" 0.406763492881444 0.460672794585808 0.342280639133706 0.465208750922007 0.262205520175707 0.411480403341719 0.452449408476892 0.548511038909679 0.382156111191454 0.550238796182987 0.566267650194104 0.605586526856073 0.427699998260323 0.709204309036043 0.873714194415379
"ALOX5AP" 0.125442791090933 0 0 0 0 0.104231269416394 0 0.091350906757207 1.23769054324797 0.466683770651951 0 0 0 0.325337425990181 0.0139078867561076
"ALPPL2" 0.367650535468803 0.297373846169877 0.590652997907189 0.633361346024407 0.55513418971899 0.275427937143064 0.892683278295193 0.894496359244532 0.600758567464825 0.808253370170884 0.36609868373735 0.648164435207801 0.907621525789059 0.917862324457825 0.408751147606096
"AMHR2" 0.344358993928715 0.785988821211937 0.634687328790496 0.0941879648595122 0.271969907648881 0.566415253959503 0.777093751896883 0.685259115609558 1.46208504741907 0.849487602901409 0.238382893504579 0.172899168588557 0.912726407634645 0.700722682073844 1.38113915809923
