"5W_embryo1" "7W_embryo1" "8W_embryo1" "10W_embryo1" "12W_embryo1" "14W_embryo1" "18W_embryo1" "18W_embryo2" "20W_embryo1" "20W_embryo2" "23W_embryo1" "23W_embryo2" "24W_embryo1" "24W_embryo2" "26W_embryo1"
"A2M" 1.93791375915867 0.44163372645192 0 0 0 0.105009298400471 0.325550614505153 0.264945467343422 0.738530860787938 0.498210475510828 0.449179322407838 0.155081121677036 0.86202795830843 0.546520189304319 1.46276601631642
"AAMDC" 1.56199237095465 1.02144258066395 0.0245194315735044 0.820714632702058 0 0.872976079772943 1.05149404212189 1.19368211283035 0.967938651336767 0.98087072354904 1.14521570783519 0.692946529898281 1.01896777103013 0.946349905473625 0.686617915198026
"ABCA17P" 0 0 0 0 0 0.26616790967986 0.599862312424728 1.00211254286188 1.2353184972242 1.00862931567862 1.34538175526434 0.779916397496556 0.93670902192149 0.815247814721563 0.812770830926896
"ABCB6" 0 0.404490445544479 0 1.5573573720447 0.916370632669201 0.253556099708343 0.570143247977859 0.670674869072953 0.673398708246823 0.31066406614652 0.399541884340273 0.499559741348199 0.711347301725566 0.434761083914014 1.30230187419898
"ACOX1" 0 0.546711319088419 0 0.39132022919818 0 0.192686219542954 0.640166580285218 0.397948626724432 0.435016126513418 0.286683272064343 0.318123103484527 0.475898403545769 0.130349732259417 0.326970608703972 0.539506362757467
"ACP5" 0 0.150829761097158 0 0.0208464723699582 0 0.131383232029225 0.539590769036302 0 0.494940974561255 1.25843029946871 2.08885122443514 0 1.39143853058708 0 1.03033323566055
"ACRC" 0.143589702945764 0 0 0 0 0.59103643832654 0.665517426433074 0.394884697143347 0.781307425055982 0.655336728343024 0.824529914804317 0.511014580878356 1.01175830659496 1.19696882695716 0.893636115813204
"ACTC1" 0.0251039123093427 0 0 1.09065424459328 0 0.467155006485422 0.767220217919305 0.192821134009309 0 0.0514454603547251 0.378329578048163 0.0176468148118083 0 0 0
"ACTG2" 0 0.0273902409617305 0.0330387845193175 0.311667071178396 1.55822869870872 0.105422031131401 1.24672196026687 0.481643426716858 0.0229454369162281 0.522580259013905 0.750662907901784 0 0.042313668264216 0.349433470213935 0.429147990245507
"ADAMTS1" 0 0.277050897845874 0 0.959393828018736 0 0.885628542451569 0.579640273005481 0.798201651882035 0.611416666031404 0.662710138311116 0.373879971021509 0.379626408959809 1.00575779691282 0.634046853191306 0
"ADAMTS5" 0 0 0 0 0 0.643833707887043 0.766072506216929 0.972348293917684 0.760143728535126 0.704457248335415 0.797592667389731 0.346014236241011 1.77086978968997 0.341232669429103 0
"ADAP2" 0 0 0 0 0 0.0397551941019692 0 0 1.318465760256 1.47083355621987 0.830941158085446 0 0.149408199405794 0.277125002496433 0.893852007373489
"ADIPOR2" 0.854181362234691 0.678147540412996 0 1.68727641237256 1.28793692763729 0.690279194259194 0.636816224117296 0.81365079270695 0.707194686714635 0.711174369039651 0.425375132246282 0.629820640408654 0.326825945146136 0.534729428266128 0.954136578817925
"ADM" 0.581935753286461 0 0 0.459439261685771 0 0.295796294411402 0.701672497032332 0.516874080716434 0.924936006693858 0.976346512970585 0.753743154534962 0.490679658633683 0.844062618240198 0.498993005433063 0.97787604963155
"ADSSL1" 0 0.280785905341548 0 0 0.31845368748217 0.112919529152041 0 0.96060429950482 0.71281268796874 0.407826343602199 0.472852380465097 0.455741481122777 0.472015253018802 0.762221763688502 0.589720900485825
"AGFG1" 0.623656651888982 0.525381009989287 0 0.681372822463182 0.559672860583319 0.347511629619877 1.01858071613432 0.809509971704908 0.789997577714836 0.599773583507603 0.503779856306552 0.666168729248015 0.459821274540915 0.56652862890755 0.678724714300463
"AHNAK" 0 0.768722630609772 0 0.776669785318029 0 0.590648512499147 0.962259606382342 1.25381694837213 0.733081977563716 0.67748915181035 0.688296571063588 0.785458539891709 1.01367398088296 0.570183217100028 1.03195227667088
"AHSA2" 0 0.65733209215041 0.0815501328382798 0.925350227522296 0 0.353541243073735 0.807779041614059 0.948020263132728 0.531329227823865 0.517008647274545 0.455556999990982 0.52041845412717 0.507778128560102 0.908668960552794 0.676459059844292
"AIF1" 0 0.732988842055929 0 0.208642960008948 0 0.176396801150974 0.0190275910726778 0.0452838593699958 1.08637037086045 1.02889048703742 2.89970049534967 0 0.482439632728618 0.769856879338466 1.51573286156337
"AK1" 0.679807224787893 1.58168306533409 1.54286523440044 1.34004713209893 0 0.346951211795972 1.87372535391509 0.739386726777432 0.681581181233573 0.651645726998279 0.712734103692971 0.738437912405437 0.76792285660878 0.9049001617529 0.731213815112783
"AK3" 0.555706199059356 0.762978203047062 1.16611615939747 0.5743451993477 0.753818775383248 0.6353080646328 0.829988500598697 0.93829480950668 1.37089878736677 1.29419621670704 1.12232854481476 0.857389941448799 0.982454539102923 1.61403681540429 1.1044796819802
"AK5" 0 0 0 0.402333698623233 0 0.273188927555776 1.07758442681286 0.579859019409385 0.581149000079742 0.613235024220595 0.802192673366213 0.525599462604422 0.603764884739294 0.782279061056255 1.18798906797094
"AKR1B10" 0 0.96862363449061 1.71704338052703 1.79226451261455 1.47597496545615 0.332321789970229 0 1.02363439574575 0.803781846947765 0.992528057923854 1.2337529441486 0.678114702770004 1.42059880964503 0.981058461970648 1.09988352923879
"AKR1C1" 0 1.17299726583761 0 0.668414783036303 0 0.353557109160601 0.667420996981547 0.704064288889721 0.504959180686907 0.711058476344519 0.636749994749764 0.676851066888419 0.614630899806211 0.827630955419573 1.03144597732155
"ALAS1" 0.508000183014853 0.8561643911615 0 0.526555398718652 0 0.788986039543241 1.05170328257136 0.969513513925375 0.832097211484411 0.895088154281256 1.05004142012311 0.744866970401312 0.550595284081188 0.767933506966396 0.605637711278608
"ALCAM" 1.55664673148791 1.33954688459842 0.681518479171251 0.982743429145437 1.94599572252294 0.876745674476242 1.10790317994883 1.04774448908672 0.942063288943394 1.05770898215526 0.916568800565254 0.645585547601044 1.09598723132411 1.01621659455694 1.12738178518808
"ALDH1A1" 0 0 0 0 0.916370632669201 1.01239408892245 1.53142666695144 1.53071100123383 1.12889200030226 1.25738464790457 1.44945822304591 1.36958408027607 1.64710510406233 1.3358559154589 0.855158475019451
"ALDH1A2" 2.52641718390993 0.921229973648971 0 1.33372336694837 0 0.653229725397941 1.14876139259213 1.04893881850509 0.825026144579299 0.889883549975624 1.01973664669285 0.950103421100046 1.16298941555538 0.92227126192767 1.01031904570845
"ALOX5AP" 0 0 0 0.10258524423445 0 0.0758806670189651 0 0.0581494367907686 1.58152513257628 0.746971875946439 0 0 0.859642591866248 0 0
"ALPPL2" 0 0.101050647058745 0.0245194315735044 0.379972013784459 0 0.0201751451722665 1.28879943659262 0.0154868435627009 0.0440507857062931 0.267367597869082 0.0158772721728686 0.692988600713703 0.0235247032633177 0.646042000323706 0.0322184968229639
"AMHR2" 1.21429485803913 1.91028203360308 1.85233202338744 1.04145761975622 0.559672860583319 1.17820534759594 1.22464357873 1.38158976891838 1.04814265915524 1.20164430729644 1.44895187221723 1.54831306086973 1.11833218634928 1.14813682098187 1.30892151025186
"AMOTL2" 0.460962350414606 0.905560766036584 0 1.261772624399 0 0.510161064947517 0.580419172073557 0.845990340004419 1.11498068790921 0.587014198403774 0.442913013349119 0.583590231669399 0.834814134701393 0.809744219848545 1.34477846090231
"ANG" 0 0.403849387535005 0 0.0415039997424532 0 0.526527386487838 1.4411802171265 1.03732050798853 0.162260996698093 0.511163279872466 0.760011977692898 0.998755931906846 0.0234611791649756 0.935451441114165 1.09574452701942
